#
# Options:
#   /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_nsys/nsys_rel/nsys /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_neutron_sdk/target/imxrt700/cmodel/NeutronFirmware.elf -nc /data/jwen929/mobile/pytorch_ref/executorch/examples/nxp/executor_runner/neutron-imxrt700.ini --mem-shared-path ddr_850193_temp -mic=0 -dc -fep -sce --sce 
#

TEST id=0
INIT

CORE n=zenv

RD n=MSG_RCV_INFO_M1 d=0x00000000
RD n=MSG_RCV_QEN d=0x00000000
RD n=MSG_SND_CORE d=0x00000000
RD n=MSG_SND_CTRL d=0x00000000
RD n=MSG_SND_DATA d=0x00000000
RD n=MSG_SND_READY d=0x00000001
RD n=MSG_SND_REQ d=0x00000000
RD n=MSTATUS d=0x00000000
RD n=MTVAL d=0x00000000
RD n=MTVEC d=0x00000000
RD n=MVENDORID d=0x00000015
RD n=NIA d=0x80000084
RD n=PRIV d=0x0003
RD n=P_D_HDECOR d=0x00000000
RD n=P_EXCEPTION_T d=0x00000000
RD n=P_EXCPVEC_T d=0x0000
RD n=P_IACK_T d=0x00000000
RD n=P_IPEND_T d=0x00000000
RD n=RCV_INSTR_BLOCKED_M1 d=0x00000000
RD n=SATP d=0x00000000
RD n=SCAUSE d=0x00000000
RD n=SCOUNTEREN d=0x00000000
RD n=SEPC d=0x00000000
RD n=SND_INSTR_BLOCKED d=0x00000000
RD n=SSCRATCH d=0x00000000
RD n=STVAL d=0x00000000
RD n=STVEC d=0x00000000
RD n=SYSCMP d=0x00000000
RD n=TDATA1 d=0x00000000
RD n=TDATA2 d=0x00000000
RD n=TINFO d=0x00000000
RD n=TSELECT d=0x00000000
RD n=WAITBL_INSTR_IN_EXECUTION d=0x00000000
RD n=abstractauto d=0x00000000
RD n=abstractcs d=0x03000001
RD n=command d=0x00000000
RD n=confstrptr0 d=0x00000000
RD n=custom0 d=0x00000000
RD n=data0 d=0x00000000
RD n=dmcontrol d=0x00000000
RD n=dmcs2 d=0x00000004
RD n=dmstatus d=0x004000a2
RD n=haltsum0 d=0x00000000
RD n=hawindow d=0x00000000
RD n=hawindowsel d=0x00000000
RD n=mseccfg d=0x0000000000000000
RD n=ADDRCTRL i=0 d=0x24000000
RD n=ADDRCTRL i=1 d=0x24000000
RD n=ADDRCTRL i=2 d=0x24000000
RD n=ADDRCTRL i=3 d=0x24000000
RD n=ADDRCTRL i=4 d=0x24000000
RD n=ADDRCTRL i=5 d=0x24000000
RD n=ADDRCTRL i=6 d=0x24000000
RD n=ADDRCTRL i=7 d=0x24000000
RD n=ADDRCTRL i=8 d=0x24000000
RD n=ADDRCTRL i=9 d=0x24000000
RD n=ADDRCTRL i=10 d=0x24000000
RD n=ADDRCTRL i=11 d=0x24000000
RD n=ADDRCTRL i=12 d=0x24000000
RD n=ADDRCTRL i=13 d=0x24000000
RD n=ADDRCTRL i=14 d=0x24000000
RD n=ADDRCTRL i=15 d=0x24000000
RD n=ADDRCTRL i=16 d=0x24000000
RD n=ADDRCTRL i=17 d=0x24000000
RD n=ADDRCTRL i=18 d=0x24000000
RD n=ADDRCTRL i=19 d=0x24000000
RD n=ADDRVAL i=0 d=0x00000000
RD n=ADDRVAL i=1 d=0x00000000
RD n=ADDRVAL i=2 d=0x00000000
RD n=ADDRVAL i=3 d=0x00000000
RD n=ADDRVAL i=4 d=0x00000000
RD n=ADDRVAL i=5 d=0x00000000
RD n=ADDRVAL i=6 d=0x00000000
RD n=ADDRVAL i=7 d=0x00000000
RD n=ADDRVAL i=8 d=0x00000000
RD n=ADDRVAL i=9 d=0x00000000
RD n=ADDRVAL i=10 d=0x00000000
RD n=ADDRVAL i=11 d=0x00000000
RD n=ADDRVAL i=12 d=0x00000000
RD n=ADDRVAL i=13 d=0x00000000
RD n=ADDRVAL i=14 d=0x00000000
RD n=ADDRVAL i=15 d=0x00000000
RD n=ADDRVAL i=16 d=0x00000000
RD n=ADDRVAL i=17 d=0x00000000
RD n=ADDRVAL i=18 d=0x00000000
RD n=ADDRVAL i=19 d=0x00000000
RD n=GPR i=0 d=0x00000000
RD n=GPR i=1 d=0x00000000
RD n=GPR i=2 d=0x00000000
RD n=GPR i=3 d=0x00000000
RD n=GPR i=4 d=0x00000000
RD n=GPR i=5 d=0x00000000
RD n=GPR i=6 d=0x00000000
RD n=GPR i=7 d=0x00000000
RD n=GPR i=8 d=0x00000000
RD n=GPR i=9 d=0x00000000
RD n=GPR i=10 d=0x00000000
RD n=GPR i=11 d=0x00000000
RD n=GPR i=12 d=0x00000000
RD n=GPR i=13 d=0x00000000
RD n=GPR i=14 d=0x00000000
RD n=GPR i=15 d=0x00000000
RD n=GPR i=16 d=0x00000000
RD n=GPR i=17 d=0x00000000
RD n=GPR i=18 d=0x00000000
RD n=GPR i=19 d=0x00000000
RD n=GPR i=20 d=0x00000000
RD n=GPR i=21 d=0x00000000
RD n=GPR i=22 d=0x00000000
RD n=GPR i=23 d=0x00000000
RD n=GPR i=24 d=0x00000000
RD n=GPR i=25 d=0x00000000
RD n=GPR i=26 d=0x00000000
RD n=GPR i=27 d=0x00000000
RD n=GPR i=28 d=0x00000000
RD n=GPR i=29 d=0x00000000
RD n=GPR i=30 d=0x00000000
RD n=GPR i=31 d=0x00000000
RD n=MSG_BL_CHK i=0 d=0x00000000
RD n=MSG_BL_CHK i=1 d=0x00000000
RD n=MSG_BL_CHK i=2 d=0x00000000
RD n=MSG_BL_CHK i=3 d=0x00000000
RD n=MSG_BL_CHK i=4 d=0x00000000
RD n=MSG_BL_CHK i=5 d=0x00000000
RD n=MSG_BL_CHK i=6 d=0x00000000
RD n=MSG_BL_CHK i=7 d=0x00000000
RD n=MSG_BL_EVT i=0 d=0x00000000
RD n=MSG_BL_EVT i=1 d=0x00000000
RD n=MSG_BL_EVT i=2 d=0x00000000
RD n=MSG_BL_EVT i=3 d=0x00000000
