status	job	detail
SKIP	w25:577	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w25:647	
OK	w25:658	
OK	w25:77	
OK	w25:737	
OK	w25:738	
OK	w26:106	
OK	w26:189	
OK	w26:212	
OK	w26:239	
OK	w23:419	
OK	w26:267	
OK	w26:324	
OK	w26:424	
MISMATCH	w24:145	out[0] max|delta|=9.223e+18 (rtol=0.01 atol=0.001)
OK	w26:569	
OK	w26:626	
OK	w26:647	
OK	w26:74	
CRASH	w25:600	executor process died (native abort)
OK	w26:749	
OK	w26:750	
OK	w26:97	
OK	w27:144	
OK	w27:171	
OK	w27:271	
SKIP	w27:120	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w27:38	
OK	w27:286	
OK	w27:450	
OK	w27:432	
OK	w27:468	
OK	w27:454	
OK	w27:519	
OK	w27:498	
OK	w27:541	
OK	w27:592	
OK	w27:96	
OK	w28:158	
OK	w28:164	
OK	w28:167	
OK	w28:23	
OK	w28:272	
OK	w28:277	
MISMATCH	w28:372	out[0] max|delta|=1.007e+08 (rtol=0.0 atol=0.0)
CRASH	w26:678	executor process died (native abort)
OK	w28:361	
OK	w28:384	
OK	w28:432	
OK	w28:37	
OK	w26:21	
OK	w28:650	
OK	w28:545	
OK	w28:65	
OK	w28:540	
OK	w28:757	
OK	w28:77	
OK	w28:8	
OK	w29:101	
OK	w29:103	
OK	w29:263	
OK	w29:128	
OK	w29:367	
OK	w29:377	
MISMATCH	w29:394	out[0] non-finite mismatch (nan/inf positions differ)
OK	w29:506	
SKIP	w29:562	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w29:58	
OK	w29:596	
OK	w29:6	
OK	w29:618	
OK	w29:682	
OK	w29:655	
OK	w3:115	
OK	w3:175	
OK	w29:95	
MISMATCH	w3:260	out[0] non-finite mismatch (nan/inf positions differ)
OK	w3:240	
OK	w3:245	
OK	w3:37	
OK	w3:35	
OK	w3:41	
OK	w3:440	
SKIP	w3:373	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w3:45	
OK	w3:54	
OK	w3:504	
OK	w3:631	
OK	w3:596	
OK	w3:719	
SKIP	w3:666	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w3:742	
OK	w30:135	
OK	w30:159	
OK	w30:164	
OK	w30:16	
OK	w30:192	
OK	w30:251	
OK	w30:287	
OK	w30:315	
OK	w30:349	
OK	w30:370	
OK	w30:386	
OK	w30:483	
OK	w30:551	
OK	w30:511	
CRASH	w3:593	executor process died (native abort)
OK	w25:770	
OK	w30:579	
OK	w30:600	
OK	w30:617	
OK	w30:722	
OK	w30:690	
OK	w30:761	
OK	w30:773	
OK	w30:8	
OK	w31:152	
OK	w31:169	
OK	w31:191	
OK	w31:219	
OK	w31:240	
OK	w31:257	
SKIP	w31:393	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w31:467	
SKIP	w31:4	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w31:510	
OK	w31:490	
OK	w31:588	
MISMATCH	w31:602	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)
OK	w31:652	
OK	w31:712	
OK	w31:710	
OK	w31:742	
OK	w31:96	
OK	w32:15	
OK	w32:192	
OK	w32:221	
OK	w32:256	
OK	w32:272	
OK	w27:343	
OK	w28:654	
OK	w31:619	
MISMATCH	w31:111	out[0] non-finite mismatch (nan/inf positions differ)
OK	w32:34	
OK	w32:415	
OK	w32:33	
OK	w32:393	
OK	w32:436	
OK	w32:380	
OK	w32:60	
OK	w32:501	
OK	w32:554	
OK	w32:597	
OK	w32:529	
OK	w32:692	
OK	w32:739	
OK	w32:693	
OK	w32:733	
OK	w32:76	
OK	w32:712	
OK	w33:315	
OK	w33:282	
OK	w33:14	
OK	w33:404	
OK	w33:236	
OK	w33:414	
OK	w33:458	
OK	w33:476	
OK	w33:495	
OK	w33:411	
OK	w33:674	
OK	w33:544	
OK	w33:79	
MISMATCH	w34:114	out[0] shape (1, 1, 1, 1, 1) vs (0, 0, 0, 0, 0)
OK	w34:134	
OK	w34:180	
SKIP	w34:152	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w34:220	
OK	w34:275	
OK	w34:343	
OK	w34:293	
OK	w34:379	
OK	w34:5	
MISMATCH	w34:550	out[0] max|delta|=2.882e+17 (rtol=0.01 atol=0.001)
OK	w34:665	
OK	w34:693	
OK	w34:694	
SKIP	w35:104	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w35:125	
OK	w35:128	
OK	w35:183	
MISMATCH	w35:192	out[0] shape (1, 1, 1, 1) vs (0, 0, 0, 0, 0)
OK	w35:20	
CRASH	w34:403	executor process died (native abort)
MISMATCH	w35:222	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)
OK	w35:277	
OK	w35:334	
OK	w35:353	
OK	w35:358	
OK	w35:386	
OK	w35:435	
OK	w35:462	
OK	w35:525	
OK	w35:537	
CRASH	w34:631	executor process died (native abort)
SKIP	w32:78	executor ExecutorchRuntimeException: [ExecuTorch Error 0x14] Operator missing: Execution failed for method: forward
OK	w35:716	
OK	w35:591	
OK	w35:771	
OK	w35:732	
OK	w35:91	
OK	w36:115	
OK	w36:163	
OK	w34:387	
OK	w33:542	
OK	w36:22	
OK	w36:31	
OK	w36:288	
OK	w36:330	
OK	w36:336	
OK	w36:40	
OK	w36:475	
OK	w36:519	
OK	w36:544	
OK	w36:608	
OK	w36:605	
OK	w36:634	
OK	w36:682	
OK	w36:722	
OK	w36:758	
OK	w36:721	
OK	w37:126	
OK	w36:759	
OK	w37:190	
OK	w37:224	
OK	w37:223	
OK	w37:295	
OK	w37:371	
OK	w37:469	
OK	w37:526	
OK	w37:597	
OK	w37:610	
OK	w37:632	
OK	w37:705	
OK	w37:733	
OK	w37:743	
OK	w37:77	
SKIP	w38:127	executor ExecutorchInvalidArgumentException: [ExecuTorch Error 0x12] Invalid argument: Execution failed for method: forward
OK	w38:197	
OK	w38:204	
OK	w38:239	
OK	w38:277	
OK	w38:31	
OK	w35:574	
OK	w38:313	
OK	w38:353	
OK	w38:427	
OK	w38:434	
OK	w38:460	
OK	w38:518	
OK	w38:607	
SKIP	w38:495	executor ExecutorchRuntimeException: [ExecuTorch Error 0x1] Internal error: Execution failed for method: forward
MISMATCH	w38:643	out[0] non-finite mismatch (nan/inf positions differ)
OK	w38:697	
OK	w38:700	
OK	w38:72	
OK	w38:75	
OK	w38:720	
