op	annotated	n_qdq	lowered	deleg_ops	note
bitwise_right_shift.Tensor_Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_right_shift.Tensor_Scalar_out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
bitwise_right_shift.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
bitwise_xor.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
bitwise_xor.Scalar_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Byte'
bitwise_xor.Tensor_out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
bmm.out	YES	4	-	-	
cat.out	no	0	-	-	
ceil.out	YES	2	-	-	
clamp.Tensor_out	YES	2	-	-	
clamp.out	YES	2	-	-	
clone	YES	2	-	-	
constant_pad_nd	YES	2	-	-	
convolution	YES	4	-	-	
copy	YES	4	-	-	
cos.out	YES	2	-	-	
cosh.out	YES	2	-	-	
cumsum.out	YES	2	-	-	
detach_copy	YES	2	-	-	
diagonal_copy	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
div.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
div.Scalar_mode	YES	2	-	-	
div.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
div.out_mode	YES	4	-	-	
elu.out	YES	2	-	-	
embedding	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
eq.Scalar_out	YES	2	-	-	
eq.Tensor_out	YES	4	-	-	
erf.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
exp.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
expand_copy	YES	2	-	-	
expm1.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
fill.Scalar	YES	2	-	-	
fill.Tensor	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Short'
flip	YES	2	-	-	
floor.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
floor_divide	YES	4	-	-	
floor_divide.out	YES	4	-	-	
fmod.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
fmod.Scalar_out	YES	2	-	-	
fmod.Tensor_out	YES	4	-	-	
full.out	no	0	-	-	
gather.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
ge.Scalar_out	YES	2	-	-	
ge.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Short'
gelu.out	YES	2	-	-	
glu.out	YES	2	-	-	
grid_sampler_2d	YES	4	-	-	
gt.Scalar_out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
