job_id	out_idx	verdict	cone_size	required_siblings	detail
w12:199	0	GRAPHOPT	6	n5	needs siblings ['n5']
w12:204	0	GRAPHOPT	10	n6,n7,n8,n9	needs siblings ['n6', 'n7', 'n8', 'n9']
w12:205	1	GRAPHOPT	6	n3	needs siblings ['n3']
w12:206	1	OPERATOR	3		diverges alone (cone 3)
w12:211	1	OPERATOR	4		diverges alone (cone 4)
w12:216	1	OPERATOR	6		diverges alone (cone 6)
w12:228	0	OPERATOR	7		diverges alone (cone 7)
w12:235	0	OPERATOR	2		diverges alone (cone 2)
w12:237	1	OPERATOR	4		diverges alone (cone 4)
w12:239	2	OPERATOR	3		diverges alone (cone 3)
w12:256	0	OPERATOR	3		diverges alone (cone 3)
w12:257	0	OPERATOR	2		diverges alone (cone 2)
w12:269	1	OPERATOR	8		diverges alone (cone 8)
w12:27	0	OPERATOR	5		diverges alone (cone 5)
w12:270	2	OPERATOR	4		diverges alone (cone 4)
w12:28	1	OPERATOR	4		diverges alone (cone 4)
w12:280	3	OPERATOR	3		diverges alone (cone 3)
w12:283	2	OPERATOR	5		diverges alone (cone 5)
w12:294	1	OPERATOR	3		diverges alone (cone 3)
w12:298	0	GRAPHOPT	7	n6,n8	needs siblings ['n6', 'n8']
w12:299	2	OPERATOR	4		diverges alone (cone 4)
w12:301	1	OPERATOR	3		diverges alone (cone 3)
w12:303	1	OPERATOR	3		diverges alone (cone 3)
w12:31	0	OPERATOR	6		diverges alone (cone 6)
w12:318	1	OPERATOR	5		diverges alone (cone 5)
w12:320	0	OPERATOR	4		diverges alone (cone 4)
w12:325	0	OPERATOR	4		diverges alone (cone 4)
w12:327	0	OPERATOR	3		diverges alone (cone 3)
w12:330	0	GRAPHOPT	4	n7	needs siblings ['n7']
w12:335	3	OPERATOR	4		diverges alone (cone 4)
w12:336	0	OPERATOR	2		diverges alone (cone 2)
w12:34	1	OPERATOR	5		diverges alone (cone 5)
w12:340	0	OPERATOR	3		diverges alone (cone 3)
w12:343	3	NOREPRO	3		full graph diverges=False
w12:360	0	OPERATOR	3		diverges alone (cone 3)
w12:364	0	OPERATOR	7		diverges alone (cone 7)
w12:375	1	OPERATOR	8		diverges alone (cone 8)
w12:389	0	GRAPHOPT	8	n8	needs siblings ['n8']
w12:397	1	OPERATOR	3		diverges alone (cone 3)
w12:40	1	GRAPHOPT	5	n7	needs siblings ['n7']
w12:405	0	OPERATOR	4		diverges alone (cone 4)
w12:409	1	OPERATOR	7		diverges alone (cone 7)
w12:415	2	OPERATOR	7		diverges alone (cone 7)
w12:417	1	NOREPRO	3		full graph diverges=False
w12:420	3	OPERATOR	3		diverges alone (cone 3)
w12:423	0	OPERATOR	3		diverges alone (cone 3)
w12:428	2	OPERATOR	5		diverges alone (cone 5)
w12:429	2	OPERATOR	11		diverges alone (cone 11)
w12:440	1	OPERATOR	6		diverges alone (cone 6)
w12:448	1	OPERATOR	3		diverges alone (cone 3)
w12:456	1	OPERATOR	4		diverges alone (cone 4)
w12:457	0	OPERATOR	8		diverges alone (cone 8)
w12:459	0	NOREPRO	2		full graph diverges=False
w12:462	0	OPERATOR	6		diverges alone (cone 6)
w12:465	0	OPERATOR	2		diverges alone (cone 2)
w12:471	2	OPERATOR	3		diverges alone (cone 3)
w12:483	1	GRAPHOPT	6	n8	needs siblings ['n8']
w12:487	0	NOREPRO	4		full graph diverges=False
w12:49	1	OPERATOR	5		diverges alone (cone 5)
w12:491	0	OPERATOR	2		diverges alone (cone 2)
w12:492	0	NOREPRO	7		full graph diverges=False
w12:499	0	OPERATOR	5		diverges alone (cone 5)
w12:50	4	OPERATOR	3		diverges alone (cone 3)
w12:502	2	NOREPRO	5		full graph diverges=False
w12:504	0	OPERATOR	2		diverges alone (cone 2)
w12:505	1	OPERATOR	4		diverges alone (cone 4)
w12:508	2	OPERATOR	3		diverges alone (cone 3)
w12:512	1	GRAPHOPT	4	n7	needs siblings ['n7']
w12:514	2	GRAPHOPT	9	n7	needs siblings ['n7']
w12:515	2	OPERATOR	6		diverges alone (cone 6)
w12:518	0	OPERATOR	6		diverges alone (cone 6)
w12:519	0	OPERATOR	6		diverges alone (cone 6)
w12:525	0	OPERATOR	3		diverges alone (cone 3)
w12:529	2	OPERATOR	5		diverges alone (cone 5)
w12:531	2	OPERATOR	5		diverges alone (cone 5)
w12:533	3	OPERATOR	4		diverges alone (cone 4)
w12:537	0	GRAPHOPT	5	n5	needs siblings ['n5']
w12:555	0	OPERATOR	7		diverges alone (cone 7)
w12:557	1	NOREPRO	3		full graph diverges=False
w12:560	0	NOREPRO	6		full graph diverges=False
w12:564	0	NOREPRO	2		full graph diverges=False
w12:570	0	OPERATOR	4		diverges alone (cone 4)
w12:578	1	NOREPRO	3		full graph diverges=False
w12:581	0	GRAPHOPT	9	n8	needs siblings ['n8']
w12:588	0	OPERATOR	3		diverges alone (cone 3)
w12:591	2	OPERATOR	2		diverges alone (cone 2)
w12:598	1	OPERATOR	2		diverges alone (cone 2)
w12:600	0	OPERATOR	5		diverges alone (cone 5)
w12:603	0	OPERATOR	4		diverges alone (cone 4)
w12:607	0	OPERATOR	2		diverges alone (cone 2)
w12:616	1	OPERATOR	2		diverges alone (cone 2)
w12:617	2	OPERATOR	4		diverges alone (cone 4)
w12:62	0	OPERATOR	3		diverges alone (cone 3)
w12:624	1	OPERATOR	3		diverges alone (cone 3)
w12:627	1	OPERATOR	4		diverges alone (cone 4)
w12:629	1	OPERATOR	4		diverges alone (cone 4)
w12:633	2	OPERATOR	6		diverges alone (cone 6)
w12:641	0	OPERATOR	3		diverges alone (cone 3)
w12:644	0	OPERATOR	4		diverges alone (cone 4)
w12:648	1	OPERATOR	4		diverges alone (cone 4)
w12:656	3	OPERATOR	4		diverges alone (cone 4)
w12:660	2	OPERATOR	7		diverges alone (cone 7)
w12:664	0	OPERATOR	3		diverges alone (cone 3)
w12:666	2	OPERATOR	2		diverges alone (cone 2)
w12:668	1	NOREPRO	2		full graph diverges=False
w12:683	0	NOREPRO	4		full graph diverges=False
w12:685	1	OPERATOR	3		diverges alone (cone 3)
w12:688	0	OPERATOR	3		diverges alone (cone 3)
w12:689	2	GRAPHOPT	6	n8	needs siblings ['n8']
w12:690	1	OPERATOR	5		diverges alone (cone 5)
w12:692	3	OPERATOR	7		diverges alone (cone 7)
w12:693	1	OPERATOR	5		diverges alone (cone 5)
w12:695	1	OPERATOR	4		diverges alone (cone 4)
w12:697	0	OPERATOR	2		diverges alone (cone 2)
w12:701	0	OPERATOR	4		diverges alone (cone 4)
w12:717	1	OPERATOR	5		diverges alone (cone 5)
w12:722	1	OPERATOR	2		diverges alone (cone 2)
w12:725	3	OPERATOR	3		diverges alone (cone 3)
w12:729	2	NOREPRO	3		full graph diverges=False
w12:735	1	NOREPRO	7		full graph diverges=False
w12:742	0	OPERATOR	7		diverges alone (cone 7)
w12:746	4	OPERATOR	4		diverges alone (cone 4)
w12:750	0	NOREPRO	4		full graph diverges=False
w12:751	4	OPERATOR	4		diverges alone (cone 4)
w12:753	0	OPERATOR	4		diverges alone (cone 4)
w12:754	1	OPERATOR	11		diverges alone (cone 11)
w12:769	1	OPERATOR	4		diverges alone (cone 4)
w12:77	2	OPERATOR	9		diverges alone (cone 9)
w12:775	2	GRAPHOPT	6	n4	needs siblings ['n4']
w12:777	3	OPERATOR	7		diverges alone (cone 7)
w12:781	0	OPERATOR	5		diverges alone (cone 5)
w12:85	1	OPERATOR	7		diverges alone (cone 7)
w12:87	1	OPERATOR	5		diverges alone (cone 5)
w12:91	0	GRAPHOPT	3	n7	needs siblings ['n7']
w12:92	0	OPERATOR	4		diverges alone (cone 4)
w12:98	4	OPERATOR	3		diverges alone (cone 3)
w13:101	2	OPERATOR	3		diverges alone (cone 3)
w13:102	1	OPERATOR	3		diverges alone (cone 3)
w13:105	2	OPERATOR	3		diverges alone (cone 3)
w13:107	2	OPERATOR	2		diverges alone (cone 2)
w13:115	0	OPERATOR	6		diverges alone (cone 6)
w13:129	2	NOREPRO	4		full graph diverges=False
w13:13	0	OPERATOR	2		diverges alone (cone 2)
w13:130	0	OPERATOR	2		diverges alone (cone 2)
w13:135	1	OPERATOR	7		diverges alone (cone 7)
w13:140	0	OPERATOR	3		diverges alone (cone 3)
w13:142	1	GRAPHOPT	5	n4	needs siblings ['n4']
w13:143	1	OPERATOR	4		diverges alone (cone 4)
w13:149	0	OPERATOR	2		diverges alone (cone 2)
w13:15	0	OPERATOR	7		diverges alone (cone 7)
w13:162	1	OPERATOR	8		diverges alone (cone 8)
w13:165	3	OPERATOR	2		diverges alone (cone 2)
w13:167	0	OPERATOR	2		diverges alone (cone 2)
w13:174	0	OPERATOR	4		diverges alone (cone 4)
w13:181	4	NOREPRO	4		full graph diverges=False
w13:185	3	GRAPHOPT	3	n5	needs siblings ['n5']
w13:186	0	OPERATOR	3		diverges alone (cone 3)
w13:189	2	OPERATOR	3		diverges alone (cone 3)
w13:193	0	OPERATOR	5		diverges alone (cone 5)
w13:199	2	OPERATOR	3		diverges alone (cone 3)
w13:201	1	OPERATOR	3		diverges alone (cone 3)
w13:202	1	OPERATOR	3		diverges alone (cone 3)
w13:204	2	GRAPHOPT	4	n6	needs siblings ['n6']
w13:207	0	GRAPHOPT	4	n6	needs siblings ['n6']
w13:215	0	OPERATOR	7		diverges alone (cone 7)
w13:220	2	OPERATOR	3		diverges alone (cone 3)
w13:23	1	OPERATOR	3		diverges alone (cone 3)
w13:230	0	OPERATOR	5		diverges alone (cone 5)
w13:238	0	OPERATOR	5		diverges alone (cone 5)
w13:239	3	OPERATOR	2		diverges alone (cone 2)
w13:24	0	OPERATOR	6		diverges alone (cone 6)
w13:255	2	OPERATOR	3		diverges alone (cone 3)
w13:256	2	NOREPRO	6		full graph diverges=False
w13:262	1	OPERATOR	4		diverges alone (cone 4)
w13:263	3	OPERATOR	3		diverges alone (cone 3)
w13:269	1	OPERATOR	3		diverges alone (cone 3)
w13:275	0	OPERATOR	3		diverges alone (cone 3)
w13:286	3	OPERATOR	4		diverges alone (cone 4)
w13:292	0	OPERATOR	2		diverges alone (cone 2)
w13:293	0	OPERATOR	9		diverges alone (cone 9)
w13:298	3	OPERATOR	4		diverges alone (cone 4)
w13:306	1	OPERATOR	6		diverges alone (cone 6)
w13:307	1	OPERATOR	4		diverges alone (cone 4)
w13:312	0	GRAPHOPT	5	n6	needs siblings ['n6']
w13:313	2	OPERATOR	4		diverges alone (cone 4)
w13:323	1	OPERATOR	5		diverges alone (cone 5)
w13:324	0	GRAPHOPT	5	n5	needs siblings ['n5']
w13:328	1	OPERATOR	4		diverges alone (cone 4)
w13:33	1	OPERATOR	3		diverges alone (cone 3)
w13:333	0	GRAPHOPT	5	n6	needs siblings ['n6']
w13:337	2	OPERATOR	7		diverges alone (cone 7)
