job_id	out_idx	verdict	cone_size	required	detail
w104:532	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w105:10	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w105:145	1	SIBLING_DEPENDENT	3	n4	
w105:515	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w106:328	3	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w106:422	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w107:195	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w107:41	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w108:281	2	OPERATOR	4		
w108:400	0	SIBLING_DEPENDENT	3	n4	
w108:457	4	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w109:656	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w109:90	1	OPERATOR	5		
w11:328	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w11:442	1	COMPOSITIONAL	6	n2,n6	
w110:126	2	COMPOSITIONAL	4	n10	
w110:495	0	COMPOSITIONAL	1	n0	
w110:50	2	LOWERFAIL			BUILD:SKIP: to_executorch ValueError: zero-size array to reduction operation max
w110:60	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w112:452	0	OPERATOR	1		
w113:349	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w113:432	1	SIBLING_DEPENDENT	4	n3,n6	
w113:579	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w114:171	0	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w114:334	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w116:157	0	SIBLING_DEPENDENT	4	n7	
w116:657	0	SIBLING_DEPENDENT	4	n5	
w117:214	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w117:63	4	OPERATOR	2		
w117:735	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w118:51	0	OPERATOR	1		
w118:623	0	SIBLING_DEPENDENT	4	n7	
w119:325	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w119:583	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w12:125	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w12:2	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w12:204	3	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w12:573	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w12:743	2	OPERATOR	1		
w121:164	1	OPERATOR	1		
w121:247	1	SIBLING_DEPENDENT	2	n1,n7	
w123:128	3	SIBLING_DEPENDENT	4	n4	
w124:518	1	OPERATOR	3		
w125:32	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w126:208	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w126:589	3	LOWERFAIL			BUILD:SKIP: to_executorch AssertionError: Deploying a model with no inputs in Co
w127:104	0	SIBLING_DEPENDENT	3	n5	
w127:530	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w127:583	0	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w13:162	0	SIBLING_DEPENDENT	4	n4	
w13:538	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w13:604	0	OPERATOR	1		
w14:571	2	COMPOSITIONAL	2	n3	
w15:49	2	OPERATOR	4		
w16:142	1	OPERATOR	2		
w16:399	3	OPERATOR	2		
w16:582	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w16:79	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w18:389	2	OPERATOR	3		
w18:483	2	OPERATOR	3		
w19:123	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w19:232	0	OPERATOR	1		
w19:324	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w20:189	3	SIBLING_DEPENDENT	3	n2	
w20:236	2	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w21:389	2	OPERATOR	2		
w22:518	1	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w23:622	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w23:684	0	SIBLING_DEPENDENT	4	n3	
w23:87	1	COMPOSITIONAL	3	n2	
w24:642	2	SIBLING_DEPENDENT	3	n5	
w25:420	2	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w25:674	0	OPERATOR	1		
w26:189	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w26:594	3	SIBLING_DEPENDENT	4	n8	
w26:63	1	OPERATOR	2		
w27:283	0	SIBLING_DEPENDENT	3	n5,n6	
w27:300	1	COMPOSITIONAL	4	n2,n5	
w28:31	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w29:373	1	ERROR			DEV:CRASH
w3:307	3	OPERATOR	5		
w3:537	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w3:586	3	SIBLING_DEPENDENT	4	n1	
w3:612	3	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
