op	verdict	job	out	detail	eager	device	in_dtypes
native_layer_norm	NONFINITE_OUT	w122:89	1	out[0] non-finite mismatch (nan/inf positions differ)	[-1.48488, 1.1216, 0.667, -0.30372, -0.25802, 1.70011]	[-1.48488, 1.1216, 0.667, -0.30372, -0.25802, 1.70011]	["torch.float32"]
ne.Scalar_out	CLEAN	w11:285	2	op reproduces eager alone	""	""	""
ne.Tensor_out	CLEAN	w107:595	0	op reproduces eager alone	""	""	""
neg.out	GENUINE	w112:743	2	out[0] max|delta|=1.460e+02 (rtol=0.01 atol=0.001)	[-130.0, 2.0, 72.0, -2.0, -130.0, 2.0]	[-130.0, 2.0, 72.0, -2.0, -130.0, 2.0]	["torch.float32"]
permute_copy	GENUINE	w101:871	0	out[0] max|delta|=1.413e+00 (rtol=0.01 atol=0.001)	[0.38257, -0.14319, -0.88037, -0.18811, -0.74072, -0.02861]	[0.38257, 0.38257, -0.88037, -0.88037, -0.74072, -0.74072]	["torch.float16"]
pixel_shuffle	GENUINE	w101:415	3	out[0] max|delta|=7.000e+00 (rtol=0.01 atol=0.001)	[3.0, -0.0, 3.0, -0.0, -3.0, -3.0]	[3.0, 3.0, 3.0, 3.0, -3.0, -3.0]	["torch.float32"]
pixel_unshuffle	CLEAN	w100:131	0	op reproduces eager alone	""	""	""
pow.Scalar_out	GENUINE	w12:257	0	out[0] max|delta|=2.550e+02 (rtol=0.01 atol=0.001)	[0.0, 0.0]	[255.0, 255.0]	["torch.uint8"]
pow.Tensor_Scalar_out	GENUINE	w103:733	2	out[0] max|delta|=1.809e-01 (rtol=0.01 atol=0.001)	[0.20759, 0.20759, 0.20759, 0.20759, 0.20759, 0.20759]	[0.20759, 0.20759, 0.20759, 0.20759, 0.20759, 0.20759]	["torch.float32", "torch.float32"]
pow.Tensor_Tensor_out	GENUINE	w103:125	0	out[0] max|delta|=2.541e+03 (rtol=0.01 atol=0.001)	[2541.0, 2541.0, 256.0, 256.0, -1.0, -1.0]	[0.0, 0.0, 256.0, 256.0, -1.0, -1.0]	["torch.int8", "torch.uint8"]
prod	CLEAN	w101:292	0	op reproduces eager alone	""	""	""
prod.int_out	GENUINE	w0:62	3	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[0.0]	[-1.0]	["torch.float32"]
reciprocal.out	CLEAN	w0:684	0	op reproduces eager alone	""	""	""
reflection_pad1d.out	CLEAN	w115:26	0	op reproduces eager alone	""	""	""
reflection_pad2d	CLEAN	w48:312	1	op reproduces eager alone	""	""	""
reflection_pad2d.out	CLEAN	w110:353	3	op reproduces eager alone	""	""	""
relu	GENUINE	w102:120	1	out[0] max|delta|=2.527e+00 (rtol=0.01 atol=0.001)	[0.0, 0.0, 1.30619, 0.97374, 0.0, 0.0]	[0.0, 0.0, 1.30619, 0.97374, 0.0, 0.0]	["torch.float32"]
remainder.Scalar	GENUINE	w100:110	0	out[0] max|delta|=7.000e+00 (rtol=0.0 atol=0.0)	[4.0, 4.0, 4.0]	[-3.0, -3.0, -3.0]	["torch.int64"]
