job_id	out_idx	verdict	cone_size	required_siblings	detail
w25:33	2	OPERATOR	3		diverges alone (cone 3)
w25:335	2	OPERATOR	3		diverges alone (cone 3)
w25:354	3	GRAPHOPT	6	n8	needs siblings ['n8']
w25:359	3	OPERATOR	2		diverges alone (cone 2)
w25:372	2	OPERATOR	4		diverges alone (cone 4)
w25:382	3	OPERATOR	5		diverges alone (cone 5)
w25:392	2	NOREPRO	5		full graph diverges=False
w25:396	4	OPERATOR	4		diverges alone (cone 4)
w25:40	0	OPERATOR	3		diverges alone (cone 3)
w25:406	1	OPERATOR	5		diverges alone (cone 5)
w25:418	2	OPERATOR	5		diverges alone (cone 5)
w25:422	1	OPERATOR	4		diverges alone (cone 4)
w25:428	1	OPERATOR	3		diverges alone (cone 3)
w25:439	0	OPERATOR	3		diverges alone (cone 3)
w25:441	2	OPERATOR	3		diverges alone (cone 3)
w25:449	2	OPERATOR	4		diverges alone (cone 4)
w25:454	2	OPERATOR	3		diverges alone (cone 3)
w25:462	0	OPERATOR	4		diverges alone (cone 4)
w25:468	2	OPERATOR	7		diverges alone (cone 7)
w25:475	1	NOREPRO	7		full graph diverges=False
w25:477	0	OPERATOR	3		diverges alone (cone 3)
w25:48	1	OPERATOR	8		diverges alone (cone 8)
w25:490	3	OPERATOR	4		diverges alone (cone 4)
w25:493	3	OPERATOR	4		diverges alone (cone 4)
w25:504	1	OPERATOR	3		diverges alone (cone 3)
w25:524	2	OPERATOR	4		diverges alone (cone 4)
w25:526	1	OPERATOR	4		diverges alone (cone 4)
w25:535	0	GRAPHOPT	4	n12	needs siblings ['n12']
w25:558	0	OPERATOR	3		diverges alone (cone 3)
w25:562	1	OPERATOR	4		diverges alone (cone 4)
w25:564	2	OPERATOR	6		diverges alone (cone 6)
w25:565	3	OPERATOR	2		diverges alone (cone 2)
w25:570	0	OPERATOR	4		diverges alone (cone 4)
w25:575	0	OPERATOR	2		diverges alone (cone 2)
w25:58	0	OPERATOR	2		diverges alone (cone 2)
w25:581	1	OPERATOR	5		diverges alone (cone 5)
w25:582	1	OPERATOR	4		diverges alone (cone 4)
w25:606	2	OPERATOR	7		diverges alone (cone 7)
w25:611	1	OPERATOR	5		diverges alone (cone 5)
w25:615	1	OPERATOR	4		diverges alone (cone 4)
w25:622	1	OPERATOR	6		diverges alone (cone 6)
w25:644	1	OPERATOR	3		diverges alone (cone 3)
w25:656	1	OPERATOR	5		diverges alone (cone 5)
w25:66	2	OPERATOR	3		diverges alone (cone 3)
w25:664	0	OPERATOR	3		diverges alone (cone 3)
w25:669	0	GRAPHOPT	5	n7	needs siblings ['n7']
w25:682	3	OPERATOR	4		diverges alone (cone 4)
