w15:642	0	OPERATOR	3		diverges alone (cone 3)
w15:645	2	OPERATOR	3		diverges alone (cone 3)
w15:651	1	LOWERFAIL	3		dev=TIMEOUT
w15:664	3	LOWERFAIL	5		dev=TIMEOUT
w15:692	0	LOWERFAIL	4		dev=TIMEOUT
w15:734	2	OPERATOR	4		diverges alone (cone 4)
w15:739	4	LOWERFAIL	4		dev=TIMEOUT
w15:772	4	LOWERFAIL	6		dev=TIMEOUT
w15:773	3	LOWERFAIL	2		dev=TIMEOUT
w15:792	1	GRAPHOPT	8	n8	needs siblings ['n8']
w15:811	1	OPERATOR	5		diverges alone (cone 5)
w15:817	2	LOWERFAIL	5		dev=TIMEOUT
w15:834	4	NOREPRO	6		full graph diverges=False
w15:89	0	OPERATOR	3		diverges alone (cone 3)
w1:59	2	OPERATOR	4		diverges alone (cone 4)
w15:965	3	GRAPHOPT	10	n6,n7,n8	needs siblings ['n6', 'n7', 'n8']
w15:971	1	LOWERFAIL	9		dev=TIMEOUT
w1:598	0	LOWERFAIL	2		dev=TIMEOUT
w15:995	1	LOWERFAIL	4		dev=TIMEOUT
w1:60	0	LOWERFAIL	6		dev=TIMEOUT
w1:600	2	LOWERFAIL	4		dev=TIMEOUT
w1:607	1	LOWERFAIL	3		dev=TIMEOUT
w16:1010	1	LOWERFAIL	3		dev=TIMEOUT
w16:131	2	LOWERFAIL	4		dev=TIMEOUT
w16:132	1	OPERATOR	7		diverges alone (cone 7)
w16:149	0	OPERATOR	4		diverges alone (cone 4)
w16:16	1	GRAPHOPT	4	n7	needs siblings ['n7']
w16:188	3	LOWERFAIL	3		dev=TIMEOUT
w16:190	2	OPERATOR	6		diverges alone (cone 6)
w16:191	1	GRAPHOPT	8	n5,n7	needs siblings ['n5', 'n7']
w16:208	1	OPERATOR	4		diverges alone (cone 4)
w16:219	0	NOREPRO	5		full graph diverges=False
w16:225	3	OPERATOR	3		diverges alone (cone 3)
w16:227	1	OPERATOR	4		diverges alone (cone 4)
w16:243	3	LOWERFAIL	8		dev=TIMEOUT
w16:253	0	LOWERFAIL	3		dev=TIMEOUT
w1:63	1	OPERATOR	4		diverges alone (cone 4)
w16:313	3	LOWERFAIL	4		dev=TIMEOUT
w16:329	0	LOWERFAIL	2		dev=TIMEOUT
w1:634	0	NOREPRO	3		full graph diverges=False
w16:349	2	OPERATOR	5		diverges alone (cone 5)
w16:366	0	OPERATOR	4		diverges alone (cone 4)
w16:418	0	LOWERFAIL	4		dev=TIMEOUT
w16:4	4	OPERATOR	5		diverges alone (cone 5)
w16:447	2	LOWERFAIL	3		dev=TIMEOUT
w16:490	3	OPERATOR	4		diverges alone (cone 4)
w16:500	1	LOWERFAIL	2		dev=TIMEOUT
w16:509	1	OPERATOR	8		diverges alone (cone 8)
w16:518	0	OPERATOR	4		diverges alone (cone 4)
w16:531	2	LOWERFAIL	5		dev=TIMEOUT
w16:537	1	LOWERFAIL	5		dev=TIMEOUT
w16:551	1	LOWERFAIL	6		dev=TIMEOUT
w16:58	2	OPERATOR	4		diverges alone (cone 4)
w16:605	0	LOWERFAIL	4		dev=TIMEOUT
w16:639	0	LOWERFAIL	4		dev=TIMEOUT
w16:672	0	OPERATOR	2		diverges alone (cone 2)
w16:675	0	OPERATOR	2		diverges alone (cone 2)
w16:681	1	LOWERFAIL	5		dev=TIMEOUT
w16:701	0	OPERATOR	3		diverges alone (cone 3)
w16:728	0	OPERATOR	3		diverges alone (cone 3)
w16:743	1	OPERATOR	3		diverges alone (cone 3)
w16:755	0	LOWERFAIL	2		dev=TIMEOUT
w16:787	0	LOWERFAIL	4		dev=TIMEOUT
w16:870	0	LOWERFAIL	7		dev=TIMEOUT
w16:873	2	LOWERFAIL	4		dev=TIMEOUT
