job_id	op	status	cm_bucket	cm_compute	cm_all	leaf_nonfinite	note
w19:260	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w1:186	full.out	SKIP	NO-CM			False	
w20:269	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w21:262	arange.out	SKIP	NO-CM			False	
w22:164	full.out	SKIP	NO-CM			False	
w23:18	fmod.Scalar	MISMATCH	NO-CM			False	
w24:153	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w24:755	scatter_add.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w25:672	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w26:655	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w27:463	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w28:375	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w29:203	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w2:267	_pdist_forward	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w30:175	full.out	SKIP	NO-CM			False	
w31:129	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w31:729	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w32:707	min.dim_min	SKIP	NO-CM			False	
w33:502	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w34:495	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w35:423	stack	SKIP	NO-CM			False	
w36:345	arange.start_out	SKIP	NO-CM			False	
w37:314	transpose_copy.int	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w38:296	remainder.Scalar	MISMATCH	NO-CM			False	
w39:2	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w3:145	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w40:233	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w41:260	linear.out	CRASH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w42:209	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w42:737	remainder.Scalar	MISMATCH	NO-CM			False	
w43:78	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w44:735	expand_copy	SKIP	NO-CM			False	
w46:221	ones.out	SKIP	NO-CM			False	
w47:215	copy	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w47:744	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w48:721	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w49:620	topk.values	SKIP	NO-CM			False	
w4:460	stack	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w50:400	zeros.out	SKIP	NO-CM			False	
w51:514	remainder.Tensor_out	MISMATCH	NO-CM			False	
w52:401	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w53:356	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w54:119	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w55:174	topk.values	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w56:141	permute_copy	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w57:197	scatter.src_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w58:181	bitwise_left_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w58:95	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w59:748	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w5:72	remainder.Scalar	MISMATCH	NO-CM			False	
w60:740	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w61:658	copy	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w62:552	arange.out	SKIP	NO-CM			False	
w63:563	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w64:596	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w65:646	stack	SKIP	NO-CM			False	
w66:430	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w67:416	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w68:335	stack	SKIP	NO-CM			False	
w69:215	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w6:107	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w6:756	stack	SKIP	NO-CM			False	
w70:634	_pdist_forward	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w71:683	bitwise_left_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w72:582	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w73:571	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w74:413	stack	SKIP	NO-CM			False	
w75:39	max.dim_max	SKIP	NO-CM			False	
w76:319	bitwise_right_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w77:298	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w78:230	convolution	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w79:260	stack	SKIP	NO-CM			False	
w79:766	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w7:725	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w80:708	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w81:95	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w82:8	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w83:711	_pdist_forward	SKIP	NO-CM			False	
w84:774	stack	SKIP	NO-CM			False	
w85:7	arange.out	SKIP	NO-CM			False	
w86:7	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w87:551	arange.out	SKIP	NO-CM			False	
w88:490	bitwise_left_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w89:489	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w8:43	bitwise_left_shift.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w90:434	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w91:44	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
